Pool Price,,,
,,,
,,,
,,,
Date (HE),Price ($),30Ravg ($),AIL Demand (MW)
09/12/2020 04,29.58,40.77,8072
09/12/2020 05,31.8,40.78,8065
09/12/2020 06,31.93,40.79,8083
09/12/2020 07,33.54,40.79,8208
09/12/2020 08,35.85,40.8,8340
09/12/2020 09,35.8,40.8,8585
09/12/2020 10,36.63,40.81,8827
09/12/2020 11,36.85,40.82,9016
09/12/2020 12,36.83,40.82,9131
09/12/2020 13,150.45,40.98,9127
09/12/2020 14,128.96,41.11,9063
09/12/2020 15,39.99,41.12,9123
09/12/2020 16,35.99,41.12,9146
09/12/2020 17,35.56,41.12,9195
09/12/2020 18,32.03,41.11,9245
09/12/2020 19,31.76,41.1,9135
09/12/2020 20,31.95,41.09,9072
09/12/2020 21,35.89,41.1,9139
09/12/2020 22,35.75,41.1,8994
09/12/2020 23,35.23,41.11,8724
09/12/2020 24,32.22,41.12,8490
09/13/2020 01,31.87,41.13,8327
09/13/2020 02,32.21,41.15,8209
09/13/2020 03,33.93,41.17,8112
09/13/2020 04,31.85,41.19,8045
09/13/2020 05,31.9,41.21,8068
09/13/2020 06,31.94,41.23,8139
09/13/2020 07,31.8,41.24,8213
09/13/2020 08,28.19,41.24,8313
09/13/2020 09,29.96,41.23,8457
09/13/2020 10,31.84,41.23,8665
09/13/2020 11,31.94,41.23,8820
09/13/2020 12,35.16,41.23,8917
09/13/2020 13,34.66,41.22,9036
09/13/2020 14,34.54,41.22,8970
09/13/2020 15,34.52,41.22,8948
09/13/2020 16,34.47,41.22,8990
09/13/2020 17,34.69,41.22,9117
09/13/2020 18,36.23,41.22,9202
09/13/2020 19,35.59,41.22,9083
09/13/2020 20,34.99,41.22,9068
09/13/2020 21,36.59,41.22,9175
09/13/2020 22,35.5,41.22,9028
09/13/2020 23,33.32,41.22,8719
09/13/2020 24,31.27,41.22,8458
09/14/2020 01,31.56,41.23,8284
09/14/2020 02,31.67,41.24,8196
09/14/2020 03,31.9,41.25,8158
09/14/2020 04,31.85,41.27,8128
09/14/2020 05,34.44,41.28,8162
09/14/2020 06,35.64,41.3,8311
09/14/2020 07,36.56,41.32,8723
09/14/2020 08,37.8,41.34,9179
09/14/2020 09,38.56,41.36,9336
09/14/2020 10,36.44,41.37,9377
09/14/2020 11,102.74,41.46,9435
09/14/2020 12,74.31,41.51,9500
09/14/2020 13,36.74,41.5,9530
09/14/2020 14,36.65,41.5,9478
09/14/2020 15,36.8,41.5,9428
09/14/2020 16,36.62,41.5,9399
09/14/2020 17,36.82,41.5,9466
09/14/2020 18,173.38,41.69,9415
09/14/2020 19,38.06,41.69,9271
09/14/2020 20,36.79,41.7,9208
09/14/2020 21,36.83,41.7,9255
09/14/2020 22,36.77,41.7,9058
09/14/2020 23,34.84,41.71,8729
09/14/2020 24,34.56,41.71,8503
09/15/2020 01,34.28,41.72,8317
09/15/2020 02,34.34,41.73,8262
09/15/2020 03,34.57,41.74,8255
09/15/2020 04,33.69,41.75,8226
09/15/2020 05,34.36,41.76,8286
09/15/2020 06,34.66,41.78,8394
09/15/2020 07,42.23,41.8,8754
09/15/2020 08,59.63,41.86,9135
09/15/2020 09,51.09,41.9,9256
09/15/2020 10,36.54,41.91,9353
09/15/2020 11,139.03,42.06,9384
09/15/2020 12,41.95,42.07,9486
09/15/2020 13,34.93,42.07,9466
09/15/2020 14,37.21,42.07,9448
09/15/2020 15,32.45,42.06,9459
09/15/2020 16,31.39,42.03,9389
09/15/2020 17,31.37,41.29,9456
09/15/2020 18,31.42,40.97,9459
09/15/2020 19,31.31,40.87,9310
09/15/2020 20,32.72,40.73,9289
09/15/2020 21,34.71,40.72,9387
09/15/2020 22,34.69,40.71,9220
09/15/2020 23,33.77,40.7,8937
09/15/2020 24,34.37,40.7,8656
09/16/2020 01,32.26,40.7,8455
09/16/2020 02,31.57,40.7,8350
09/16/2020 03,31.18,40.7,8269
09/16/2020 04,31.31,40.71,8245
09/16/2020 05,31.23,40.71,8297
09/16/2020 06,31.25,40.71,8449
09/16/2020 07,33.5,40.71,8804
09/16/2020 08,33.92,40.72,9158
09/16/2020 09,33.87,40.72,9305
09/16/2020 10,33.96,40.72,9373
09/16/2020 11,36.16,40.72,9384
09/16/2020 12,36.52,40.71,9419
09/16/2020 13,36.9,40.68,9436
09/16/2020 14,36.94,40.62,9409
09/16/2020 15,37.25,40.01,9441
09/16/2020 16,37.25,39.31,9479
09/16/2020 17,37.96,38.97,9555
09/16/2020 18,63.44,38.93,9490
09/16/2020 19,39.6,38.93,9337
09/16/2020 20,37.11,38.93,9309
09/16/2020 21,36.95,38.93,9396
09/16/2020 22,35.54,38.94,9225
09/16/2020 23,33.86,38.93,8899
09/16/2020 24,33.33,38.92,8589
09/17/2020 01,31.71,38.91,8373
09/17/2020 02,31.23,38.9,8243
09/17/2020 03,31.18,38.9,8207
09/17/2020 04,31.31,38.91,8191
09/17/2020 05,31.96,38.91,8243
09/17/2020 06,33.78,38.91,8372
09/17/2020 07,35.4,38.91,8783
09/17/2020 08,36.22,38.92,9046
09/17/2020 09,37,38.92,9234
09/17/2020 10,37.02,38.91,9288
09/17/2020 11,37.05,38.91,9347
09/17/2020 12,37.11,38.9,9377
09/17/2020 13,41.61,38.91,9416
09/17/2020 14,37.73,38.83,9367
09/17/2020 15,36.97,38.74,9425
09/17/2020 16,36.94,38.2,9446
09/17/2020 17,38.65,38.17,9519
09/17/2020 18,38.25,38.15,9531
09/17/2020 19,38.36,38.15,9360
09/17/2020 20,38.18,38.13,9315
09/17/2020 21,35.86,38.13,9411
09/17/2020 22,33.13,38.12,9190
09/17/2020 23,31.05,38.12,8884
09/17/2020 24,30.63,38.11,8608
09/18/2020 01,27.86,38.11,8454
09/18/2020 02,26.15,38.1,8307
09/18/2020 03,26.61,38.1,8242
09/18/2020 04,28.25,38.1,8228
