Pool Price,,,
,,,
,,,
,,,
Date (HE),Price ($),30Ravg ($),AIL Demand (MW)
03/09/2021 23,34.34,143.65,9862
03/09/2021 24,32.53,143.62,9565
03/10/2021 01,28.78,143.59,9388
03/10/2021 02,28.12,143.57,9365
03/10/2021 03,32.04,143.55,9328
03/10/2021 04,36.14,143.53,9315
03/10/2021 05,38.5,143.51,9407
03/10/2021 06,38.78,142.72,9603
03/10/2021 07,39.55,141.87,10040
03/10/2021 08,38.4,140.92,10412
03/10/2021 09,39.49,139.95,10541
03/10/2021 10,40.7,138.81,10611
03/10/2021 11,38.48,137.6,10619
03/10/2021 12,30.25,136.4,10610
03/10/2021 13,33.61,135.29,10593
03/10/2021 14,38.77,134.36,10554
03/10/2021 15,53.5,134.11,10512
03/10/2021 16,168.8,134.26,10408
03/10/2021 17,220.35,134.12,10368
03/10/2021 18,364.57,133.64,10406
03/10/2021 19,394.73,133.18,10374
03/10/2021 20,441.82,133.03,10418
03/10/2021 21,398.38,133.11,10299
03/10/2021 22,249.93,133.37,10113
03/10/2021 23,46.59,133.36,9942
03/10/2021 24,41.89,133.36,9807
03/11/2021 01,39.97,133.35,9662
03/11/2021 02,38.18,133.33,9601
03/11/2021 03,38.07,133.32,9551
03/11/2021 04,40.89,133.32,9535
03/11/2021 05,40.85,133.31,9603
03/11/2021 06,41.26,133.27,9730
03/11/2021 07,94.68,133.1,10066
03/11/2021 08,187.27,132.75,10282
03/11/2021 09,131.95,132.16,10346
03/11/2021 10,98.52,131.53,10313
03/11/2021 11,59.95,130.81,10341
03/11/2021 12,48.97,130.17,10373
03/11/2021 13,44.46,129.71,10337
03/11/2021 14,42.95,129.53,10317
03/11/2021 15,40.96,129.19,10317
03/11/2021 16,37.85,128.79,10324
03/11/2021 17,41.03,128.15,10420
03/11/2021 18,65.13,127.37,10476
03/11/2021 19,49.75,126.65,10471
03/11/2021 20,44.55,126.04,10502
03/11/2021 21,37.35,125.96,10446
03/11/2021 22,35.58,125.92,10245
03/11/2021 23,36.34,125.9,9998
03/11/2021 24,34.54,125.89,9673
03/12/2021 01,30.06,125.87,9461
03/12/2021 02,26.97,125.85,9348
03/12/2021 03,27.17,125.83,9278
03/12/2021 04,34.32,125.82,9301
03/12/2021 05,37.6,125.82,9363
03/12/2021 06,36.84,125.77,9471
03/12/2021 07,36.92,125.15,9820
03/12/2021 08,36.71,124.21,10133
03/12/2021 09,37.67,123.22,10266
03/12/2021 10,39.01,122.21,10320
03/12/2021 11,38.89,121.17,10315
03/12/2021 12,37.52,120.13,10302
03/12/2021 13,37.53,119.14,10264
03/12/2021 14,37.46,118.15,10171
03/12/2021 15,37.27,117.18,10070
03/12/2021 16,36.78,116.25,10023
03/12/2021 17,36.06,115.33,10030
03/12/2021 18,37.06,114.25,10090
03/12/2021 19,36.94,113.16,10186
03/12/2021 20,37,112.23,10293
03/12/2021 21,37.18,111.62,10221
03/12/2021 22,37.42,111.1,10063
03/12/2021 23,38.11,110.94,9823
03/12/2021 24,38.77,110.91,9567
03/13/2021 01,37.77,110.89,9352
03/13/2021 02,37.77,110.87,9270
03/13/2021 03,38.97,110.86,9216
03/13/2021 04,39.76,110.85,9134
03/13/2021 05,37.63,110.84,9135
03/13/2021 06,37.97,110.78,9192
03/13/2021 07,39.3,110.71,9338
03/13/2021 08,37.1,110.36,9460
03/13/2021 09,37.54,109.43,9662
03/13/2021 10,37.38,108.5,9798
03/13/2021 11,37.14,107.54,9888
03/13/2021 12,37.14,106.73,9916
03/13/2021 13,39.52,106.66,9892
03/13/2021 14,35.9,106.57,9885
03/13/2021 15,38.21,106.28,9804
03/13/2021 16,38.69,105.97,9770
03/13/2021 17,38.12,105.57,9850
03/13/2021 18,38.59,104.92,9901
03/13/2021 19,38.48,104.02,10018
03/13/2021 20,40.7,103.14,10109
03/13/2021 21,35.97,102.65,10018
03/13/2021 22,35.74,102.58,9901
03/13/2021 23,34.57,102.51,9698
03/13/2021 24,31.56,102.46,9431
03/14/2021 01,35.47,102.43,9250
03/14/2021 03,36.73,102.41,9112
03/14/2021 04,32.2,102.39,9044
03/14/2021 05,34.22,102.38,9064
03/14/2021 06,35.28,102.36,9097
03/14/2021 07,35.27,102.34,9202
03/14/2021 08,34.9,102.2,9324
03/14/2021 09,35.03,102.15,9334
03/14/2021 10,35.34,101.86,9540
03/14/2021 11,35.4,101.04,9659
03/14/2021 12,37.55,100.4,9740
03/14/2021 13,35.08,99.79,9732
03/14/2021 14,27.37,99.42,9687
03/14/2021 15,25.64,98.72,9646
03/14/2021 16,34.62,98.56,9662
03/14/2021 17,39.79,98.2,9745
03/14/2021 18,41.48,97.89,9892
03/14/2021 19,41.99,97.15,9869
03/14/2021 20,41.99,96.39,9917
03/14/2021 21,41.99,96.31,9982
03/14/2021 22,41.63,96.2,9926
03/14/2021 23,37.23,95.78,9695
03/14/2021 24,35.86,95.68,9412
03/15/2021 01,35.44,95.22,9197
03/15/2021 02,33.88,95.14,9115
03/15/2021 03,31.83,95.04,9064
03/15/2021 04,32.67,94.82,9072
03/15/2021 05,36.33,94.36,9155
03/15/2021 06,35.65,94.11,9294
03/15/2021 07,37.86,93.72,9756
03/15/2021 08,38.33,93.54,10272
03/15/2021 09,40.69,93.5,10463
03/15/2021 10,39.85,93.43,10514
03/15/2021 11,40.6,93.36,10498
03/15/2021 12,34.83,93.26,10541
03/15/2021 13,33.22,93.18,10487
03/15/2021 14,33.27,93.06,10461
03/15/2021 15,33.3,92.62,10392
03/15/2021 16,33.28,92.58,10366
03/15/2021 17,34.83,92.54,10322
03/15/2021 18,37.97,92.52,10264
03/15/2021 19,40.01,92.39,10173
03/15/2021 20,44.35,91.99,10233
03/15/2021 21,55.67,91.95,10359
03/15/2021 22,43.98,91.91,10178
03/15/2021 23,38.33,91.82,9881
03/15/2021 24,38.32,91.8,9659
03/16/2021 01,39.56,91.75,9508
03/16/2021 02,39.25,91.7,9389
03/16/2021 03,39.05,91.68,9317
03/16/2021 04,38.91,91.68,9349
03/16/2021 05,38.63,91.67,9388
03/16/2021 06,38.76,91.66,9521
03/16/2021 07,45.99,91.66,9791
03/16/2021 08,328.7,92.04,10131
03/16/2021 09,192.85,92.22,10070
03/16/2021 10,120.09,92.31,10118
03/16/2021 11,85,92.31,10161
03/16/2021 12,117.38,92.35,10163
03/16/2021 13,222.37,92.53,9939
03/16/2021 14,106.41,92.58,9992
03/16/2021 15,106.96,92.66,9961
03/16/2021 16,70.1,92.67,9937
03/16/2021 17,55.48,92.67,9952
03/16/2021 18,76.07,92.66,9960
03/16/2021 19,46.07,92.45,9807
03/16/2021 20,45.89,92.22,9911
03/16/2021 21,54.24,91.65,10098
03/16/2021 22,55.51,91.56,9912
03/16/2021 23,43.94,91.18,9644
03/16/2021 24,39.74,90.85,9368
03/17/2021 01,39.64,90.59,9196
03/17/2021 02,38.67,90.56,9103
03/17/2021 03,37.68,90.54,9056
03/17/2021 04,37.57,90.51,9053
03/17/2021 05,38.05,90.5,9110
03/17/2021 06,43.05,90.49,9291
03/17/2021 07,64.47,90.5,9658
03/17/2021 08,352.18,90.88,9916
03/17/2021 09,86.39,90.92,9988
03/17/2021 10,64.41,90.9,10077
03/17/2021 11,58.88,90.89,10064
03/17/2021 12,49.52,90.88,10045
03/17/2021 13,47.75,90.86,9993
03/17/2021 14,40.83,90.81,9886
03/17/2021 15,38,90.78,9824
03/17/2021 16,33.19,90.74,9790
03/17/2021 17,34.27,90.68,9829
03/17/2021 18,35.27,90.59,9813
03/17/2021 19,33.31,89.82,9693
03/17/2021 20,33.36,88.94,9763
03/17/2021 21,34.61,88.09,9924
03/17/2021 22,32.58,87.49,9809
03/17/2021 23,32.19,87.12,9564
03/17/2021 24,32.49,86.34,9272
03/18/2021 01,32.29,85.55,9101
03/18/2021 02,31.09,85.32,9015
03/18/2021 03,31.03,85.19,8985
03/18/2021 04,32.03,85.06,9007
03/18/2021 05,32.62,84.93,9046
03/18/2021 06,32.19,84.81,9197
03/18/2021 07,34.52,84.72,9571
03/18/2021 08,38.04,84.13,9975
03/18/2021 09,41.7,83.42,10050
03/18/2021 10,48.32,82.77,10001
03/18/2021 11,102.89,82.17,9926
03/18/2021 12,117.37,81.73,9878
03/18/2021 13,52.32,81.09,9875
03/18/2021 14,46.05,80.98,9857
03/18/2021 15,38.29,80.9,9738
03/18/2021 16,34.5,80.82,9746
03/18/2021 17,33.87,80.53,9745
03/18/2021 18,35.48,80.29,9724
03/18/2021 19,35.08,79.68,9598
03/18/2021 20,36.23,79.06,9618
03/18/2021 21,45.61,78.64,9830
03/18/2021 22,41.38,78.59,9699
03/18/2021 23,36.08,78.49,9453
03/18/2021 24,37.1,78.47,9220
03/19/2021 01,38.11,78.22,9036
03/19/2021 02,36.77,77.77,8914
03/19/2021 03,35.04,77.71,8860
03/19/2021 04,33.06,77.52,8870
03/19/2021 05,33.02,77.39,8913
03/19/2021 06,32.8,77.27,9047
03/19/2021 07,31.84,77.04,9473
03/19/2021 08,35.25,76.25,9930
03/19/2021 09,36.38,75.3,10064
03/19/2021 10,39.11,74.37,10098
03/19/2021 11,39.49,73.5,10107
03/19/2021 12,39.99,72.64,10142
03/19/2021 13,39.78,71.78,10106
03/19/2021 14,36.94,70.96,10043
03/19/2021 15,36.94,70.22,9965
03/19/2021 16,36.85,69.65,9906
03/19/2021 17,35.51,69.57,9849
03/19/2021 18,34.77,69.31,9755
03/19/2021 19,32.32,68.75,9620
03/19/2021 20,33.29,68.18,9601
03/19/2021 21,34.86,67.62,9739
03/19/2021 22,32.21,66.99,9586
03/19/2021 23,33.15,66.84,9365
03/19/2021 24,32.96,66.81,9155
03/20/2021 01,35.16,66.78,8980
03/20/2021 02,30.47,66.77,8865
03/20/2021 03,28.48,66.75,8784
03/20/2021 04,28.21,66.72,8771
03/20/2021 05,33.18,66.7,8824
03/20/2021 06,36.17,66.68,8937
03/20/2021 07,34.96,66.67,9099
03/20/2021 08,34.69,66.64,9287
03/20/2021 09,33.35,66.58,9446
03/20/2021 10,35.58,66.47,9625
03/20/2021 11,35.76,66.45,9739
03/20/2021 12,34.87,66.43,9755
03/20/2021 13,34.69,66.4,9739
03/20/2021 14,29.01,66.36,9680
03/20/2021 15,28,66.32,9656
03/20/2021 16,28.05,66.28,9620
03/20/2021 17,28.75,66.25,9673
03/20/2021 18,33.86,66.23,9807
03/20/2021 19,32.6,66.19,9707
03/20/2021 20,28.34,66.17,9715
03/20/2021 21,32.06,66.15,9864
03/20/2021 22,27.68,66.13,9774
03/20/2021 23,25.82,66.1,9583
03/20/2021 24,26.77,66.09,9368
03/21/2021 01,27.18,66.07,9173
03/21/2021 02,27.14,66.06,9117
03/21/2021 03,28.58,66.05,9088
03/21/2021 04,36.02,66.05,9073
03/21/2021 05,37.59,66.05,9077
03/21/2021 06,37.14,66.05,9116
03/21/2021 07,74.81,66.11,9231
03/21/2021 08,251.08,66.4,9288
03/21/2021 09,291.73,66.74,9308
03/21/2021 10,417.5,67.25,9458
03/21/2021 11,124.32,67.35,9594
03/21/2021 12,81.73,67.4,9695
03/21/2021 13,42.22,67.39,9732
03/21/2021 14,30.96,67.37,9713
03/21/2021 15,27.64,67.34,9703
03/21/2021 16,27.75,67.32,9696
03/21/2021 17,28.07,67.29,9745
03/21/2021 18,32.14,67.26,9933
03/21/2021 19,30.74,67.19,9914
03/21/2021 20,28.82,67.05,9904
03/21/2021 21,32.49,67.01,10060
03/21/2021 22,27.88,66.98,9922
03/21/2021 23,25.1,66.94,9650
03/21/2021 24,26.89,66.92,9360
03/22/2021 01,28.8,66.9,9138
03/22/2021 02,27.29,66.88,9029
03/22/2021 03,26.71,66.86,9017
03/22/2021 04,27.61,66.84,9021
03/22/2021 05,31.86,66.83,9089
03/22/2021 06,37.74,66.82,9239
03/22/2021 07,40.28,66.82,9658
03/22/2021 08,40.74,66.83,10160
03/22/2021 09,45.04,66.84,10315
03/22/2021 10,50.84,66.85,10421
03/22/2021 11,35.94,66.85,10450
03/22/2021 12,35.64,66.84,10439
03/22/2021 13,35.66,66.83,10384
03/22/2021 14,36.84,66.83,10360
03/22/2021 15,40.91,66.84,10351
03/22/2021 16,41.03,66.85,10295
03/22/2021 17,38.18,66.85,10342
03/22/2021 18,36.23,66.84,10360
03/22/2021 19,45.79,66.85,10196
03/22/2021 20,87.53,66.91,10235
03/22/2021 21,134.86,67.04,10164
03/22/2021 22,40.73,67.04,10010
03/22/2021 23,29.95,67.03,9781
03/22/2021 24,26.83,67.01,9496
03/23/2021 01,32.1,67,9257
03/23/2021 02,31.98,66.99,9181
03/23/2021 03,32.73,66.99,9205
03/23/2021 04,36.49,67,9266
03/23/2021 05,33.72,66.99,9296
03/23/2021 06,34.87,66.99,9459
03/23/2021 07,43.49,66.99,9784
03/23/2021 08,67.19,67.03,10199
03/23/2021 09,161,67.2,10252
03/23/2021 10,193,67.41,10222
03/23/2021 11,54.91,67.43,10224
03/23/2021 12,68.43,67.46,10255
03/23/2021 13,97.89,67.54,10154
03/23/2021 14,46.25,67.55,10171
03/23/2021 15,46.24,67.56,10140
03/23/2021 16,36.28,67.55,10101
03/23/2021 17,28.55,67.54,10163
03/23/2021 18,26.67,67.52,10186
03/23/2021 19,31.74,67.48,10087
03/23/2021 20,38.39,67.45,10099
03/23/2021 21,33.42,67.43,10252
03/23/2021 22,29.63,67.42,10093
03/23/2021 23,25.63,67.39,9805
03/23/2021 24,25.88,67.36,9497
03/24/2021 01,31.36,67.35,9264
03/24/2021 02,32.21,67.33,9153
03/24/2021 03,31.07,67.32,9081
03/24/2021 04,33.87,67.31,9076
03/24/2021 05,34.9,67.31,9115
03/24/2021 06,34.95,67.3,9292
03/24/2021 07,36.33,67.29,9698
03/24/2021 08,35.87,67.26,10129
03/24/2021 09,34.88,67.22,10278
03/24/2021 10,35.83,67.19,10324
03/24/2021 11,37.73,67.14,10319
03/24/2021 12,37.83,67.06,10310
03/24/2021 13,36.06,66.92,10281
03/24/2021 14,35.95,66.72,10288
03/24/2021 15,34.88,66.71,10300
03/24/2021 16,35.13,66.7,10307
03/24/2021 17,35.85,66.7,10370
03/24/2021 18,39.31,66.7,10397
03/24/2021 19,40.37,66.68,10262
03/24/2021 20,46.81,66.61,10194
03/24/2021 21,47.18,66.58,10239
03/24/2021 22,47.3,66.58,10067
03/24/2021 23,41.64,66.58,9801
03/24/2021 24,37.93,66.57,9507
03/25/2021 01,35.72,66.57,9329
03/25/2021 02,35.71,66.56,9269
03/25/2021 03,34.49,66.55,9204
03/25/2021 04,32.77,66.54,9179
03/25/2021 05,30.51,66.52,9217
03/25/2021 06,33.01,66.51,9419
03/25/2021 07,35.29,66.5,9830
03/25/2021 08,48.37,66.49,10269
03/25/2021 09,49.48,66.47,10448
03/25/2021 10,52.55,66.45,10526
03/25/2021 11,41.84,66.41,10558
03/25/2021 12,57.78,66.42,10562
03/25/2021 13,86.6,66.45,10492
03/25/2021 14,93.5,66.51,10415
03/25/2021 15,201.16,66.72,10191
03/25/2021 16,429.78,67.23,10086
03/25/2021 17,453.12,67.4,10087
03/25/2021 18,535.6,67.93,10041
03/25/2021 19,244.86,67.71,9976
03/25/2021 20,340.18,67.52,9926
03/25/2021 21,356.83,67.66,10037
03/25/2021 22,202.44,67.86,9903
03/25/2021 23,80.89,67.74,9714
03/25/2021 24,45.32,67.7,9524
03/26/2021 01,43.12,67.68,9344
03/26/2021 02,46.89,67.68,9257
03/26/2021 03,42.76,67.67,9205
03/26/2021 04,43.94,67.67,9135
03/26/2021 05,45.88,67.67,9171
03/26/2021 06,38.59,67.66,9338
03/26/2021 07,69.71,67.68,9696
03/26/2021 08,475.03,68.22,9906
03/26/2021 09,406.37,68.63,9923
03/26/2021 10,407.76,69.1,9971
03/26/2021 11,449.44,69.63,10039
03/26/2021 12,530.79,70.07,10004
03/26/2021 13,138.26,70.15,9953
03/26/2021 14,103.41,70.21,9951
03/26/2021 15,78.99,70.27,9969
03/26/2021 16,109.39,70.36,9877
03/26/2021 17,43,70.37,9904
03/26/2021 18,39.83,70.37,9934
03/26/2021 19,32.08,70.35,9840
03/26/2021 20,36.9,70.34,9826
03/26/2021 21,35.95,70.33,9967
03/26/2021 22,35.43,70.33,9852
03/26/2021 23,34.14,70.33,9611
03/26/2021 24,37.7,70.34,9411
03/27/2021 01,40.99,70.35,9229
03/27/2021 02,41.01,70.36,9113
03/27/2021 03,41.01,70.37,9055
03/27/2021 04,42.67,70.38,9054
03/27/2021 05,46.32,70.39,9080
03/27/2021 06,46.57,70.4,9130
03/27/2021 07,54.09,70.43,9265
03/27/2021 08,45,70.43,9410
03/27/2021 09,46.24,70.43,9581
03/27/2021 10,46.23,70.43,9708
03/27/2021 11,38.5,70.39,9773
03/27/2021 12,38.45,70.38,9751
03/27/2021 13,35.45,70.36,9699
03/27/2021 14,32.83,70.35,9625
03/27/2021 15,35.03,70.33,9550
03/27/2021 16,35.54,70.32,9520
03/27/2021 17,39.73,70.32,9584
03/27/2021 18,40.83,70.31,9667
03/27/2021 19,39.06,70.3,9648
03/27/2021 20,35.75,70.29,9640
03/27/2021 21,38.2,70.28,9783
03/27/2021 22,38.67,70.27,9670
03/27/2021 23,35.03,70.26,9448
03/27/2021 24,32.46,70.26,9188
03/28/2021 01,29.69,70.24,9010
03/28/2021 02,29.54,70.23,8894
03/28/2021 03,31.92,70.23,8800
03/28/2021 04,32.74,70.24,8744
03/28/2021 05,33.5,70.24,8719
03/28/2021 06,33.8,70.23,8784
03/28/2021 07,35.18,70.23,8892
03/28/2021 08,34.97,70.22,9042
03/28/2021 09,34.34,70.21,9234
03/28/2021 10,34.75,70.21,9394
03/28/2021 11,35.28,70.2,9500
03/28/2021 12,36.14,70.18,9510
03/28/2021 13,34.33,70.15,9524
03/28/2021 14,28.28,70.1,9485
03/28/2021 15,25.44,70.07,9439
03/28/2021 16,31.05,70.05,9521
03/28/2021 17,34.32,70.04,9666
03/28/2021 18,42.42,70.01,9763
03/28/2021 19,94.23,69.75,9749
03/28/2021 20,429.58,69.71,9587
03/28/2021 21,633.91,69.84,9591
03/28/2021 22,240,69.58,9512
03/28/2021 23,29.82,69.4,9444
03/28/2021 24,28.35,69.35,9278
03/29/2021 01,30.35,69.19,9141
03/29/2021 02,31.81,69.14,9040
03/29/2021 03,30.95,69.09,8792
03/29/2021 04,32.7,69.06,8839
03/29/2021 05,33.07,69.03,8697
03/29/2021 06,31.08,68.99,8863
03/29/2021 07,29.63,68.93,9273
03/29/2021 08,41.85,68.77,9676
03/29/2021 09,47.07,68.61,9935
03/29/2021 10,58.39,68.45,10129
03/29/2021 11,145.75,68.3,10189
03/29/2021 12,53.38,68.22,10330
03/29/2021 13,36.07,68.19,10331
03/29/2021 14,32.57,68.16,10350
03/29/2021 15,31.77,68.13,10330
03/29/2021 16,32.89,68.09,10311
03/29/2021 17,33.43,68.06,10281
03/29/2021 18,34.48,68.02,10265
03/29/2021 19,32.11,67.97,10100
03/29/2021 20,34.04,67.94,10033
03/29/2021 21,40.46,67.94,10092
03/29/2021 22,41.44,67.96,9930
03/29/2021 23,41.11,67.98,9691
03/29/2021 24,34.47,67.97,9402
03/30/2021 01,34.94,67.97,9249
03/30/2021 02,38.62,67.97,9224
03/30/2021 03,40.47,67.98,9167
03/30/2021 04,41.02,68,9159
03/30/2021 05,41.79,68.02,9223
03/30/2021 06,41.37,68.03,9363
03/30/2021 07,43.54,68.04,9723
03/30/2021 08,38.92,68.04,10026
03/30/2021 09,35.53,68.06,10112
03/30/2021 10,34.9,68.06,10121
03/30/2021 11,42.58,68.07,10081
03/30/2021 12,39.12,68.07,10067
03/30/2021 13,32.29,68.06,10028
03/30/2021 14,37.65,68.06,9929
03/30/2021 15,40.35,68.07,9956
03/30/2021 16,38.64,68.07,9853
03/30/2021 17,35.95,68.06,9919
03/30/2021 18,35.47,68.06,9929
03/30/2021 19,35.63,68.05,9782
03/30/2021 20,35.35,68.04,9782
03/30/2021 21,36.13,68.04,9956
03/30/2021 22,35.45,68.03,9885
03/30/2021 23,27.64,68.02,9586
03/30/2021 24,25.65,68,9317
03/31/2021 01,26.27,67.99,9195
03/31/2021 02,24.04,67.99,9073
03/31/2021 03,24.73,67.98,8973
03/31/2021 04,25.86,67.98,8997
03/31/2021 05,28.95,67.98,9036
03/31/2021 06,34.09,67.98,9205
03/31/2021 07,29.64,67.97,9535
03/31/2021 08,28.64,67.96,9738
03/31/2021 09,29.35,67.95,9931
03/31/2021 10,38.89,67.96,9945
03/31/2021 11,37.57,67.96,9934
03/31/2021 12,38.58,67.97,9920
03/31/2021 13,38.64,67.97,9865
03/31/2021 14,45.91,67.98,9783
03/31/2021 15,36.22,67.99,9743
03/31/2021 16,33.5,67.99,9675
03/31/2021 17,34.27,67.99,9710
03/31/2021 18,33.67,67.98,9655
03/31/2021 19,31.33,67.97,9489
03/31/2021 20,35.23,67.96,9438
03/31/2021 21,38.26,67.95,9661
03/31/2021 22,36.29,67.95,9638
03/31/2021 23,33.55,67.94,9333
03/31/2021 24,30.37,67.92,9062
04/01/2021 01,33.11,67.92,8821
04/01/2021 02,34.51,67.91,8710
04/01/2021 03,35.85,67.91,8674
04/01/2021 04,35.77,67.91,8722
04/01/2021 05,36.1,67.91,8764
04/01/2021 06,35.62,67.91,8895
04/01/2021 07,36.38,67.9,9258
04/01/2021 08,36.06,67.89,9502
04/01/2021 09,35.61,67.86,9598
04/01/2021 10,38.56,67.86,9664
04/01/2021 11,35.71,67.85,9669
04/01/2021 12,35.07,67.83,9656
04/01/2021 13,35,67.82,9622
04/01/2021 14,37.29,67.82,9619
04/01/2021 15,42.12,67.83,9531
04/01/2021 16,44.01,67.84,9471
04/01/2021 17,44.3,67.85,9444
04/01/2021 18,39.47,67.84,9402
04/01/2021 19,38.07,67.83,9275
04/01/2021 20,39.04,67.82,9222
04/01/2021 21,39.72,67.81,9328
04/01/2021 22,45.34,67.81,9316
04/01/2021 23,43.17,67.81,9108
04/01/2021 24,50.29,67.82,8932
04/02/2021 01,46.53,67.83,8779
04/02/2021 02,43.72,67.83,8696
04/02/2021 03,41.37,67.82,8671
04/02/2021 04,42.02,67.81,8654
04/02/2021 05,41.75,67.81,8644
04/02/2021 06,37.95,67.8,8682
04/02/2021 07,41.5,67.79,8842
04/02/2021 08,40.21,67.75,8931
04/02/2021 09,40.57,67.6,9052
04/02/2021 10,49.17,67.51,9189
04/02/2021 11,57.53,67.37,9314
04/02/2021 12,255.05,67.49,9137
04/02/2021 13,117.93,67.58,9182
04/02/2021 14,94.19,67.62,9134
04/02/2021 15,62.53,67.63,9092
04/02/2021 16,49.96,67.63,9097
04/02/2021 17,41.95,67.51,9157
04/02/2021 18,45.11,66.9,9228
04/02/2021 19,39.93,66.19,9146
04/02/2021 20,48.97,65.54,9141
04/02/2021 21,51.2,65.1,9291
04/02/2021 22,50.18,65.01,9338
04/02/2021 23,38.14,64.82,9171
04/02/2021 24,38.28,64.8,8913
04/03/2021 01,39.71,64.8,8700
04/03/2021 02,40.35,64.79,8624
04/03/2021 03,40.93,64.79,8604
04/03/2021 04,39.32,64.79,8584
04/03/2021 05,41.7,64.79,8602
04/03/2021 06,45.29,64.8,8683
04/03/2021 07,54.34,64.81,8818
04/03/2021 08,51.87,64.21,8935
04/03/2021 09,79.15,64.07,9069
04/03/2021 10,90.89,63.57,9166
04/03/2021 11,140.76,63.35,9150
04/03/2021 12,114.1,63.2,9156
04/03/2021 13,81.91,62.77,9186
04/03/2021 14,45.09,62.66,9159
04/03/2021 15,36.55,62.53,9083
04/03/2021 16,38.48,62.53,9034
04/03/2021 17,37.39,62.51,9076
04/03/2021 18,42.01,62.48,9158
04/03/2021 19,40.57,62.06,9134
04/03/2021 20,48.61,61.91,9122
04/03/2021 21,60.35,61.74,9235
04/03/2021 22,57.62,61.74,9200
04/03/2021 23,38.61,61.74,9005
04/03/2021 24,35.51,61.74,8802
04/04/2021 01,35.68,61.74,8646
04/04/2021 02,35.41,61.75,8523
04/04/2021 03,34.98,61.76,8444
04/04/2021 04,34.24,61.77,8434
04/04/2021 05,34.14,61.77,8456
04/04/2021 06,34.12,61.77,8500
04/04/2021 07,33.96,61.76,8588
04/04/2021 08,32.93,61.75,8678
04/04/2021 09,33.76,61.74,8860
04/04/2021 10,34.24,61.73,8991
04/04/2021 11,34.34,61.63,9184
04/04/2021 12,33.45,61.55,9298
04/04/2021 13,33.94,61.35,9366
04/04/2021 14,33.45,61.27,9357
04/04/2021 15,33.38,61.27,9338
04/04/2021 16,34.5,61.27,9305
04/04/2021 17,41.26,61.29,9368
04/04/2021 18,43.62,61.31,9359
04/04/2021 19,44.67,61.33,9243
04/04/2021 20,49.27,61.34,9174
04/04/2021 21,81.1,61.41,9340
04/04/2021 22,81.73,61.48,9313
04/04/2021 23,767.22,62.5,8841
04/04/2021 24,629.91,63.33,8571
04/05/2021 01,80.83,63.39,8558
04/05/2021 02,59.91,63.41,8542
04/05/2021 03,47.61,63.43,8542
04/05/2021 04,103.81,63.52,8545
04/05/2021 05,83.75,63.59,8614
04/05/2021 06,113.34,63.71,8724
04/05/2021 07,613.34,64.52,8878
04/05/2021 08,590.83,65.29,8995
04/05/2021 09,546.89,65.99,9128
04/05/2021 10,575.54,66.74,9206
04/05/2021 11,580.27,67.49,9246
04/05/2021 12,104.16,67.58,9403
04/05/2021 13,104.16,67.67,9460
04/05/2021 14,51.74,67.69,9455
04/05/2021 15,50.32,67.72,9426
04/05/2021 16,47.68,67.75,9429
04/05/2021 17,40.52,67.77,9451
04/05/2021 18,36.16,67.77,9437
04/05/2021 19,39.57,67.78,9304
04/05/2021 20,36.41,67.76,9235
04/05/2021 21,35.52,67.74,9424
04/05/2021 22,36.21,67.72,9358
04/05/2021 23,36.24,67.71,9146
04/05/2021 24,39.77,67.71,8958
04/06/2021 01,42.49,67.72,8798
04/06/2021 02,39.7,67.74,8700
04/06/2021 03,40,67.76,8634
04/06/2021 04,39.31,67.77,8627
04/06/2021 05,40,67.78,8648
04/06/2021 06,41.69,67.78,8801
04/06/2021 07,53.26,67.81,9051
04/06/2021 08,41.94,67.81,9321
04/06/2021 09,48.6,67.84,9485
04/06/2021 10,451.87,68.41,9400
04/06/2021 11,546.86,69.12,9349
04/06/2021 12,582.79,69.89,9378
04/06/2021 13,531.19,70.59,9326
04/06/2021 14,197.08,70.82,9292
04/06/2021 15,232,71.11,9322
04/06/2021 16,192.79,71.34,9226
04/06/2021 17,38.64,71.35,9374
04/06/2021 18,44.19,71.38,9402
04/06/2021 19,33.35,71.37,9303
04/06/2021 20,35.34,71.37,9241
04/06/2021 21,41.34,71.36,9389
04/06/2021 22,42.46,71.36,9326
04/06/2021 23,39.06,71.37,9067
04/06/2021 24,35.18,71.38,8786
04/07/2021 01,31.15,71.38,8595
04/07/2021 02,31.22,71.4,8511
04/07/2021 03,36.11,71.42,8450
04/07/2021 04,39.18,71.44,8412
04/07/2021 05,38.6,71.46,8452
04/07/2021 06,40.42,71.47,8626
04/07/2021 07,48.39,71.48,8985
04/07/2021 08,67.41,71.52,9310
04/07/2021 09,188.15,71.73,9451
04/07/2021 10,381.19,72.21,9375
04/07/2021 11,304.05,72.58,9382
04/07/2021 12,54.23,72.6,9451
04/07/2021 13,37.79,72.57,9480
04/07/2021 14,45.97,72.54,9465
04/07/2021 15,34.36,72.26,9426
04/07/2021 16,34.35,72.07,9396
04/07/2021 17,45.78,71.47,9433
04/07/2021 18,34.04,70.82,9397
04/07/2021 19,32.83,70.19,9262
04/07/2021 20,35.91,69.59,9212
04/07/2021 21,41.39,69.41,9257
04/07/2021 22,42.14,69.32,9198
04/07/2021 23,39.78,69.29,8943
04/07/2021 24,45.01,69.27,8652
04/08/2021 01,40.56,69.25,8464
04/08/2021 02,40.13,69.25,8413
